TIME;SPEED_NO;SPEED_EO;SPEED_DO;SPEED_3D;ACC_NO;ACC_EO;ACC_DO;X_O;Y_O;Z_O;ALTITUDE;LONGITUDE_RAD;LONGITUDE_DEG;LATITUDE;LATITUDE_DEG;E1_XO;E2_XO;E3_XO
90;-0,047543605;-0,259460511;-0,214387311;0,339914798;0,010262972;-0,011006382;0,002517224;-68,08736187;318,370777;62,88434432;3135,83611;0,203554145;11,6627934;0,821280123;47,05588482;-0,591564955;-0,736320988;0,32845442
90,02;-0,045448914;-0,266401821;-0,21916248;0,34794788;0,010773601;-0,011296215;0,002358716;-68,08729634;318,3714264;62,87764457;3135,84281;0,203554145;11,66279341;0,821280123;47,05588482;-0,591158062;-0,737642092;0,326215098
90,04;-0,044865505;-0,271006474;-0,218292477;0,350868961;0,011267792;-0,011508128;0,002318094;-68,08708289;318,3721384;62,87125962;3135,849195;0,203554145;11,66279342;0,821280123;47,05588482;-0,590590856;-0,739046873;0,324055797
90,06;-0,044212339;-0,275144769;-0,218300581;0,353997908;0,011677757;-0,011669174;0,002284798;-68,0867876;318,3728978;62,86477088;3135,855684;0,203554145;11,66279343;0,821280123;47,05588482;-0,589874134;-0,740514624;0,322004033
90,08;-0,04475266;-0,270098729;-0,21736291;0,349575112;0,011711821;-0,011528445;0,002312305;-68,08666108;318,3741936;62,85843001;3135,862025;0,203554146;11,66279345;0,821280123;47,05588482;-0,588784994;-0,742294414;0,319892534
90,1;-0,046658427;-0,283012478;-0,211674929;0,356481903;0,011848111;-0,01142326;0,002366899;-68,08674911;318,3741458;62,85045395;3135,870001;0,203554146;11,66279345;0,821280123;47,05588482;-0,587432109;-0,744521471;0,317192836
90,12;-0,04773212;-0,287562592;-0,20621095;0,357062397;0,012019974;-0,011300322;0,002406236;-68,08671078;318,3745504;62,84250685;3135,877948;0,203554146;11,66279345;0,821280123;47,05588482;-0,586051021;-0,746874365;0,314201979
90,14;-0,056357502;-0,305848993;-0,20191371;0,370794985;0,012265674;-0,011242188;0,002445378;-68,08702828;318,3742169;62,83459346;3135,885861;0,203554146;11,66279345;0,821280123;47,05588482;-0,584813934;-0,748544426;0,312528247
90,16;-0,05911618;-0,2987023;-0,206717445;0,368035173;0,012250604;-0,011141388;0,002440159;-68,08700913;318,3755682;62,82800781;3135,892447;0,203554146;11,66279347;0,821280123;47,05588482;-0,583799882;-0,749952067;0,311045969
90,18;-0,062469882;-0,295425857;-0,20501795;0,364981209;0,012285414;-0,010970209;0,002378766;-68,08702581;318,3766572;62,82189173;3135,898563;0,203554146;11,66279348;0,821280123;47,05588482;-0,582867196;-0,751323666;0,309481146
90,2;-0,066738043;-0,294122492;-0,204566314;0,364430218;0,012370256;-0,010802175;0,002367668;-68,0870666;318,3775483;62,81575702;3135,904697;0,203554146;11,66279349;0,821280123;47,05588482;-0,582033898;-0,752631415;0,307867657
90,22;-0,062991074;-0,27835477;-0,201248413;0,349213656;0,012514046;-0,01071204;0,002405325;-68,08669009;318,3795572;62,80986926;3135,910585;0,203554147;11,66279352;0,821280123;47,05588482;-0,581069577;-0,754600703;0,304853942
90,24;-0,060631169;-0,269227493;-0,203740414;0,343030229;0,012441068;-0,010617146;0,002388871;-68,08650474;318,3813928;62,80373352;3135,916721;0,203554147;11,66279354;0,821280123;47,05588483;-0,580116718;-0,756490858;0,301970489
90,26;-0,058607407;-0,2621812;-0,204199269;0,337447998;0,012506358;-0,010584939;0,002323302;-68,0864029;318,3831159;62,79779868;3135,922655;0,203554148;11,66279357;0,821280123;47,05588483;-0,579140312;-0,758302231;0,299289533
90,28;-0,057596796;-0,254736377;-0,205333871;0,332219824;0,012697596;-0,010540158;0,002284092;-68,08627151;318,3847766;62,79187536;3135,928579;0,203554148;11,66279359;0,821280123;47,05588483;-0,578174348;-0,760060348;0,296686183
90,3;-0,063755287;-0,268204816;-0,206080677;0,344191524;0,012916673;-0,010425359;0,002169737;-68,08661456;318,3850101;62,78585262;3135,934601;0,203554148;11,66279359;0,821280123;47,05588482;-0,577466073;-0,76108897;0,295425989
90,32;-0,066454748;-0,266848399;-0,211071644;0,34666344;0,013071096;-0,010171225;0,002019742;-68,08666806;318,3860479;62,78070498;3135,939749;0,203554148;11,6627936;0,821280123;47,05588482;-0,57691356;-0,761920281;0,294360715
90,34;-0,067955307;-0,267648032;-0,212451353;0,348409199;0,01322236;-0,009968193;0,001855368;-68,0867838;318,3868596;62,77580417;3135,94465;0,203554149;11,66279361;0,821280123;47,05588482;-0,57640939;-0,762699079;0,293329729
90,36;-0,068978399;-0,268695761;-0,213927069;0,350314462;0,013481636;-0,009795454;0,001821422;-68,08707249;318,3874797;62,7709237;3135,94953;0,203554149;11,66279362;0,821280123;47,05588482;-0,575869284;-0,763530937;0,29222436
90,38;-0,069717626;-0,269284383;-0,209498201;0,348229985;0,013720291;-0,009607205;0,001876676;-68,08740644;318,387955;62,7664365;3135,954017;0,203554149;11,66279363;0,821280123;47,05588482;-0,575267792;-0,764445875;0,291014556
90,4;-0,07545989;-0,263062206;-0,203236189;0,340882484;0,013771799;-0,009624255;0,001882935;-68,08799883;318,3888246;62,76216391;3135,95829;0,203554149;11,66279364;0,821280122;47,05588481;-0,574343166;-0,76555901;0,289912626
90,42;-0,081779647;-0,26983773;-0,195767504;0,343256795;0,013946276;-0,009606514;0,001923221;-68,08877356;318,388842;62,75706636;3135,963387;0,203554149;11,66279364;0,821280122;47,05588481;-0,573423826;-0,766745854;0,288592984
90,44;-0,087334448;-0,273219691;-0,190815997;0,344509869;0,014180324;-0,009544238;0,001931522;-68,08953496;318,3889967;62,75195693;3135,968497;0,203554149;11,66279364;0,821280122;47,0558848;-0,572539;-0,767993083;0,287029124
90,46;-0,091516532;-0,273947818;-0,1879923;0,344621223;0,014455577;-0,009464356;0,001848597;-68,09035136;318,3892332;62,74682344;3135,97363;0,203554149;11,66279365;0,821280122;47,05588479;-0,571639107;-0,769371677;0,285124453
90,48;-0,076917267;-0,283485578;-0,186759354;0,348079582;0,014279723;-0,009340762;0,001763502;-68,0904091;318,388652;62,74163755;3135,978816;0,203554149;11,66279364;0,821280122;47,05588479;-0,57141398;-0,77079744;0,281704401
90,5;-0,065626226;-0,291091953;-0,18309896;0,350095067;0,014152057;-0,009215124;0,001660917;-68,09077972;318,3879442;62,73664113;3135,983813;0,203554149;11,66279363;0,821280122;47,05588479;-0,570760116;-0,772585685;0,278108341
90,52;-0,057034212;-0,2950469;-0,177801656;0,349169018;0,014134082;-0,009083674;0,001582073;-68,09107277;318,3872767;62,731845;3135,988609;0,203554149;11,66279362;0,821280122;47,05588478;-0,569904883;-0,77441464;0,274755147
90,54;-0,049387138;-0,297312897;-0,172631986;0,347326721;0,014235401;-0,008998963;0,00159651;-68,09121139;318,3867044;62,72703101;3135,993423;0,203554149;11,66279361;0,821280122;47,05588478;-0,569015627;-0,776100752;0,271825015
90,56;-0,0383198;-0,284667399;-0,165990623;0,331748131;0,014234398;-0,00914327;0,001585961;-68,0909538;318,3870153;62,72246035;3135,997994;0,203554149;11,66279362;0,821280122;47,05588479;-0,567974962;-0,778076429;0,268330977
90,58;-0,030829633;-0,274690937;-0,159335976;0,319050984;0,01430165;-0,009252886;0,001428402;-68,09040353;318,3875087;62,71809528;3136,002359;0,203554149;11,66279362;0,821280122;47,05588479;-0,567024344;-0,779783069;0,265370983
90,6;-0,025140933;-0,26672536;-0,148870063;0,306491076;0,014463329;-0,009252917;0,001169312;-68,08966012;318,3881332;62,7141561;3136,006298;0,203554149;11,66279363;0,821280122;47,0558848;-0,566099791;-0,781321065;0,262808715
90,62;-0,020361144;-0,26088286;-0,140920508;0,297208735;0,014677268;-0,009125529;0,001045462;-68,0888127;318,3888419;62,71023731;3136,010216;0,203554149;11,66279364;0,821280122;47,0558848;-0,565109555;-0,78279616;0,260540521
90,64;-0,045497765;-0,261259469;-0,129090194;0,294942088;0,014477049;-0,008951423;0,000906923;-68,08952719;318,3894488;62,70676599;3136,013688;0,203554149;11,66279365;0,821280122;47,0558848;-0,563418104;-0,7839767;0,260654126
90,66;-0,065077503;-0,261206253;-0,119860294;0,294669778;0,014236598;-0,008812534;0,000723218;-68,08964424;318,3903457;62,70333685;3136,017117;0,203554149;11,66279366;0,821280122;47,0558848;-0,562178189;-0,784819961;0,260793619
90,68;-0,079847111;-0,261872148;-0,110387112;0,29519129;0,014114993;-0,00872043;0,000696953;-68,08980998;318,3912467;62,70018726;3136,020266;0,20355415;11,66279367;0,821280122;47,0558848;-0,561138466;-0,785671662;0,260468159
90,7;-0,090002794;-0,262778423;-0,103441779;0,296400412;0,014119933;-0,008592286;0,000727828;-68,09029188;318,3920218;62,69711022;3136,023343;0,20355415;11,66279368;0,821280122;47,05588479;-0,560109927;-0,786726944;0,259494866
90,72;-0,068509818;-0,28365221;-0,094787775;0,306817362;0,013768842;-0,008479466;0,000741822;-68,08979872;318,3909163;62,69428012;3136,026174;0,203554149;11,66279367;0,821280122;47,0558848;-0,560218069;-0,78771248;0,256251371
90,74;-0,053874967;-0,298147483;-0,08434758;0,31449793;0,013532638;-0,00835649;0,000729081;-68,08987049;318,3894778;62,6917642;3136,02869;0,203554149;11,66279365;0,821280122;47,0558848;-0,559856018;-0,789120467;0,252685828
90,76;-0,042661422;-0,308767227;-0,076469165;0,320943501;0,013326748;-0,008123804;0,000653389;-68,08997128;318,3879814;62,68935051;3136,031103;0,203554149;11,66279363;0,821280122;47,05588479;-0,559327604;-0,790595506;0,249221542
90,78;-0,034325914;-0,315994177;-0,07024851;0,325523335;0,013229655;-0,007892498;0,000523703;-68,08986771;318,3865374;62,68702007;3136,033434;0,203554148;11,66279361;0,821280122;47,0558848;-0,558679686;-0,792050496;0,246034594
90,8;-0,047929897;-0,304664594;-0,064992423;0,31518535;0,012886831;-0,007659922;0,000454252;-68,0905421;318,3864364;62,68483851;3136,035615;0,203554148;11,66279361;0,821280122;47,05588479;-0,557063732;-0,793686067;0,244422636
90,82;-0,057638585;-0,295125629;-0,056767571;0,306012909;0,012606917;-0,007445486;0,000404231;-68,09070118;318,3865884;62,68295395;3136,0375;0,203554148;11,66279361;0,821280122;47,05588479;-0,555767168;-0,794992481;0,243125089
90,84;-0,06400324;-0,28812142;-0,049503944;0,299267452;0,012367817;-0,007213185;0,000327417;-68,09083155;318,3867867;62,68113684;3136,039317;0,203554149;11,66279361;0,821280122;47,05588479;-0,554644062;-0,796204367;0,241720026
90,86;-0,0694139;-0,283711967;-0,039813839;0,294781124;0,012194505;-0,007004129;0,000184905;-68,09104432;318,3869767;62,67961029;3136,040844;0,203554149;11,66279362;0,821280122;47,05588478;-0,553641569;-0,797382945;0,240127991
90,88;-0,062957616;-0,274882636;-0,030851999;0,28368287;0,011772538;-0,006996491;8,83763E-05;-68,09079113;318,3874069;62,67818435;3136,042269;0,203554149;11,66279362;0,821280122;47,05588479;-0,552910218;-0,798674729;0,23750572
90,9;-0,058595587;-0,267371918;-0,023483554;0,274722883;0,011455725;-0,007002811;7,41695E-05;-68,09084424;318,3877104;62,67685089;3136,043603;0,203554149;11,66279363;0,821280122;47,05588479;-0,552130465;-0,799976428;0,234924803
90,92;-0,05585074;-0,261345451;-0,017461983;0,267816487;0,011207145;-0,007047409;2,57167E-05;-68,09096203;318,3879934;62,67560639;3136,044847;0,203554149;11,66279363;0,821280122;47,05588479;-0,551341397;-0,801200195;0,232596026
90,94;-0,05321231;-0,256463082;-0,012823026;0,262238999;0,011056837;-0,006990624;-5,38041E-05;-68,0910996;318,3882792;62,6744517;3136,046002;0,203554149;11,66279363;0,821280122;47,05588478;-0,550498746;-0,802389234;0,230483507
90,96;-0,038789654;-0,26569434;-0,009674402;0,268685157;0,01060203;-0,006846302;-0,000133158;-68,09043181;318,387642;62,67336029;3136,047094;0,203554149;11,66279363;0,821280122;47,05588479;-0,550311926;-0,803211093;0,228054214
90,98;-0,028442073;-0,272676335;-0,009838014;0,274332137;0,010214004;-0,006695606;-0,000224087;-68,09002572;318,3868673;62,67214669;3136,048307;0,203554149;11,66279361;0,821280122;47,05588479;-0,54981342;-0,804247428;0,225590953
91;-0,020407246;-0,276373754;-0,009286857;0,277281722;0,009864901;-0,006535762;-0,000395971;-68,08955154;318,3860876;62,6709948;3136,049459;0,203554148;11,6627936;0,821280122;47,0558848;-0,549171586;-0,805331433;0,223275281
91,02;-0,014155589;-0,278246061;-0,001292106;0,278608903;0,009585451;-0,006328681;-0,000501749;-68,0889076;318,3853624;62,67033047;3136,050123;0,203554148;11,6627936;0,821280122;47,0558848;-0,54851971;-0,806354224;0,221176384
91,04;-0,022678388;-0,263498919;0,005818465;0,264537037;0,009062215;-0,006139896;-0,00053359;-68,08879745;318,3858407;62,66979107;3136,050663;0,203554148;11,6627936;0,821280122;47,05588481;-0,547163193;-0,807677534;0,219703073
91,06;-0,029776583;-0,252306722;0,01133919;0,254310645;0,008591031;-0,006005653;-0,000617519;-68,08820109;318,3865493;62,66932311;3136,051131;0,203554148;11,66279361;0,821280122;47,05588481;-0,54616607;-0,808669033;0,218533794
91,08;-0,034267573;-0,243688903;0,016229018;0,246621023;0,008240499;-0,005938619;-0,000733178;-68,08758148;318,3872991;62,66893072;3136,051523;0,203554149;11,66279362;0,821280122;47,05588482;-0,545294595;-0,809569781;0,21737197
91,1;-0,036928222;-0,236929384;0,020935937;0,240702181;0,008013711;-0,0059284;-0,000831438;-68,08709257;318,3880194;62,6686147;3136,051839;0,203554149;11,66279363;0,821280123;47,05588482;-0,544481869;-0,810440272;0,216162114
91,12;-0,0468987;-0,236772482;0,02572363;0,242739369;0,007694576;-0,005945699;-0,000964245;-68,08721658;318,3883799;62,66835981;3136,052094;0,203554149;11,66279363;0,821280123;47,05588482;-0,543643838;-0,811159989;0,215570985
91,14;-0,054632533;-0,236005894;0,029817624;0,244074961;0,007431778;-0,00592505;-0,001145337;-68,08729677;318,388755;62,66819056;3136,052263;0,203554149;11,66279364;0,821280123;47,05588482;-0,542933458;-0,81181908;0,214879131
91,16;-0,060352233;-0,235150952;0,036372062;0,245481749;0,00722257;-0,005869172;-0,001317885;-68,08748173;318,389094;62,66832665;3136,052127;0,203554149;11,66279364;0,821280122;47,05588482;-0,542226049;-0,812530217;0,213975602
91,18;-0,064278045;-0,234539235;0,041914046;0,246773392;0,007048142;-0,005732523;-0,001430619;-68,08781804;318,3893794;62,66856149;3136,051892;0,203554149;11,66279365;0,821280122;47,05588481;-0,541514038;-0,813303549;0,212837692
91,2;-0,05394968;-0,249268356;0,043482459;0,258719937;0,006501487;-0,00570103;-0,001565751;-68,08771795;318,3884179;62,66864319;3136,051811;0,203554149;11,66279364;0,821280122;47,05588481;-0,541519768;-0,813790634;0,210952945
91,22;-0,0471978;-0,25991153;0,044188804;0,267832571;0,00606208;-0,005679173;-0,001695604;-68,08783722;318,3873263;62,66882315;3136,051631;0,203554149;11,66279362;0,821280122;47,05588481;-0,541260364;-0,814521801;0,208785667
91,24;-0,042262986;-0,2661391;0,044551666;0,273131894;0,005668445;-0,005635283;-0,001929286;-68,08791563;318,3862053;62,66908174;3136,051372;0,203554148;11,66279361;0,821280122;47,05588481;-0,540836287;-0,815375324;0,206541017
91,26;-0,036963485;-0,26853253;0,045847401;0,274914538;0,005330021;-0,005541923;-0,002173688;-68,08791089;318,3850844;62,66939648;3136,051058;0,203554148;11,66279359;0,821280122;47,05588481;-0,540273045;-0,816302153;0,20434244
91,28;-0,029652295;-0,254191279;0,047911382;0,260361222;0,004897246;-0,005478424;-0,002406889;-68,08768501;318,3850177;62,66980255;3136,050651;0,203554148;11,66279359;0,821280122;47,05588482;-0,539261846;-0,817716599;0,2013361
91,3;-0,024258045;-0,244285572;0,050535226;0,250634599;0,004490739;-0,005374259;-0,002522135;-68,08726565;318,3850621;62,6702856;3136,050168;0,203554148;11,66279359;0,821280123;47,05588482;-0,538319838;-0,8190141;0,198563984
91,32;-0,020260356;-0,237691429;0,053200337;0,244413529;0,004086035;-0,005280928;-0,002543014;-68,08672321;318,3851824;62,67081135;3136,049643;0,203554148;11,66279359;0,821280123;47,05588482;-0,537434655;-0,820209056;0,196012997
91,34;-0,017019013;-0,232401677;0,056976432;0,239888516;0,0036896;-0,005225477;-0,002501757;-68,08610525;318,3853428;62,67136989;3136,049084;0,203554148;11,66279359;0,821280123;47,05588483;-0,53661541;-0,821286752;0,193731702
91,36;-0,014129252;-0,229940754;0,058038457;0,237572828;0,003134637;-0,004888359;-0,002393397;-68,08544113;318,3853459;62,67169594;3136,048758;0,203554148;11,66279359;0,821280123;47,05588484;-0,535904616;-0,822212927;0,191760647
91,38;-0,013738056;-0,239477193;0,062487843;0,247876564;0,002525307;-0,004642035;-0,002208986;-68,08481144;318,3841075;62,67241139;3136,048043;0,203554148;11,66279358;0,821280123;47,05588484;-0,534958789;-0,823364603;0,1894461
91,4;-0,012530291;-0,24375081;0,064385806;0,25242226;0,001811437;-0,004556431;-0,002093249;-68,08409941;318,3831555;62,67313692;3136,047317;0,203554148;11,66279357;0,821280123;47,05588485;-0,533852927;-0,824613527;0,187119171
91,42;-0,006874462;-0,251513598;0,063438703;0,259481825;0,001165059;-0,004467672;-0,002036385;-68,08297373;318,3819973;62,67386019;3136,046594;0,203554147;11,66279355;0,821280123;47,05588486;-0,532904227;-0,825821603;0,184477004
91,44;-0,001568353;-0,243158283;0,063720062;0,25137354;0,000786728;-0,004332967;-0,002057723;-68,08181606;318,3822785;62,67443702;3136,046017;0,203554148;11,66279355;0,821280123;47,05588487;-0,53202193;-0,826864618;0,182339163
91,46;0,002830682;-0,238201339;0,065544563;0,247070801;0,000449474;-0,00422504;-0,002186523;-68,08071679;318,3823786;62,67504663;3136,045408;0,203554148;11,66279356;0,821280124;47,05588488;-0,531201254;-0,827772736;0,180603229
91,48;0,005721687;-0,234893735;0,064775689;0,243728731;0,000191852;-0,004169446;-0,002159592;-68,07961011;318,382358;62,67546968;3136,044985;0,203554148;11,66279356;0,821280124;47,05588489;-0,530422459;-0,828599797;0,179093248
