TIME;SPEED_NO;SPEED_EO;SPEED_DO;SPEED_3D;ACC_NO;ACC_EO;ACC_DO;X_O;Y_O;Z_O;ALTITUDE;LONGITUDE_RAD;LONGITUDE_DEG;LATITUDE;LATITUDE_DEG;E1_XO;E2_XO;E3_XO
63,98;-2,435189559;9,61378447;1,542748839;10,03668641;0,008106869;-0,011405641;-0,002264283;-20,20710209;60,95549135;10,76780733;3187,960629;0,203494935;11,65940093;0,821287624;47,05631465;-0,288327091;-0,935508684;0,204183718
64;-2,461993045;9,627926189;1,582593913;10,06295066;0,008629878;-0,011332722;-0,002278764;-20,25562636;61,15112872;10,79731332;3187,931121;0,20349498;11,65940351;0,821287617;47,05631421;-0,286216732;-0,937477421;0,19803047
64,02;-2,479096086;9,665359896;1,626611073;10,10994376;0,008996417;-0,011294345;-0,002239925;-20,30434621;61,34633742;10,8269037;3187,901529;0,203495025;11,65940608;0,821287609;47,05631377;-0,28654209;-0,939629035;0,187058568
64,04;-2,480554531;9,724963497;1,650479211;10,17114288;0,009545754;-0,011307281;-0,002243056;-20,35355864;61,5413834;10,85667965;3187,871751;0,20349507;11,65940865;0,821287602;47,05631333;-0,287962981;-0,941178058;0,176808328
64,06;-2,461166509;9,725447694;1,672017436;10,17041375;0,009958943;-0,011279627;-0,002353139;-20,39993748;61,73549438;10,88665645;3187,841772;0,203495114;11,65941121;0,821287594;47,05631292;-0,291322007;-0,941802586;0,167747957
64,08;-2,428525097;9,726012673;1,65155953;10,15975913;0,010351802;-0,011292391;-0,002486982;-20,44650338;61,92953924;10,91694538;3187,811481;0,203495159;11,65941377;0,821287587;47,0563125;-0,29484953;-0,942252598;0,15882001
64,1;-2,38183359;9,719026611;1,598920811;10,13356587;0,010492702;-0,011188968;-0,00257539;-20,49327195;62,12358521;10,94745539;3187,780969;0,203495204;11,65941632;0,82128758;47,05631208;-0,296572063;-0,942400716;0,15468
64,12;-2,324412429;9,705867225;1,533966943;10,09751486;0,010780568;-0,010860415;-0,002588959;-20,54019536;62,31788534;10,97827082;3187,750152;0,203495248;11,65941888;0,821287572;47,05631166;-0,296367381;-0,942639449;0,153613944
64,14;-2,270576078;9,694849986;1,479600644;10,06652125;0,011043935;-0,01066986;-0,00275004;-20,5842428;62,51087765;11,00910982;3187,719311;0,203495293;11,65942143;0,821287565;47,05631126;-0,297796168;-0,942225044;0,153392987
64,16;-2,247101852;9,715145487;1,439086108;10,07494354;0,011249944;-0,010483314;-0,002878676;-20,62787527;62,7035357;11,03967015;3187,688748;0,203495337;11,65942397;0,821287559;47,05631087;-0,300940848;-0,941485199;0,151790074
64,18;-2,251150663;9,68260645;1,430826038;10,04329678;0,011547762;-0,01043129;-0,002954502;-20,67143766;62,89655354;11,07008535;3187,658331;0,203495381;11,65942651;0,821287552;47,05631048;-0,303985751;-0,940574965;0,151365115
64,2;-2,243524989;9,659274436;1,452101548;10,02215475;0,01168168;-0,01028772;-0,003001452;-20,7152413;63,08969905;11,10032374;3187,628091;0,203495426;11,65942906;0,821287545;47,05631009;-0,305289102;-0,939965308;0,152524699
64,22;-2,263578427;9,654866873;1,476786545;10,02602315;0,011704253;-0,010460502;-0,002896829;-20,76190444;63,28312276;11,13062318;3187,597789;0,20349547;11,6594316;0,821287538;47,05630967;-0,302337658;-0,940031687;0,157899866
64,24;-2,279959264;9,637003317;1,510233497;10,01752726;0,011932802;-0,010712605;-0,002808882;-20,80859216;63,47660871;11,16093742;3187,567473;0,203495515;11,65943415;0,82128753;47,05630925;-0,298181042;-0,940195254;0,164684396
64,26;-2,300149169;9,623021848;1,536703693;10,0127266;0,011819246;-0,010394683;-0,002848744;-20,85524149;63,66997943;11,19118868;3187,537219;0,203495559;11,6594367;0,821287523;47,05630883;-0,294898231;-0,940259844;0,170136587
64,28;-2,322374904;9,641549609;1,559498467;10,03917026;0,012131522;-0,009923983;-0,002823882;-20,90188299;63,86323799;11,22158714;3187,506819;0,203495604;11,65943925;0,821287516;47,05630841;-0,293760223;-0,940420274;0,171215186
64,3;-2,370995253;9,737407644;1,602015787;10,1491468;0,012546639;-0,009713434;-0,003114742;-20,94867935;64,06191787;11,25173407;3187,47667;0,20349565;11,65944187;0,821287508;47,05630799;-0,294357648;-0,942007672;0,161167988
64,32;-2,419883269;9,810993179;1,6390646;10,23708723;0,012803803;-0,009570096;-0,003266365;-20,99525255;64,26080319;11,28201588;3187,446386;0,203495695;11,65944449;0,821287501;47,05630757;-0,296343742;-0,943207306;0,150134489
64,34;-2,416963345;9,851940946;1,640854966;10,27593583;0,013076833;-0,009424868;-0,003311294;-21,04240441;64,4599071;11,31250961;3187,41589;0,203495741;11,65944711;0,821287494;47,05630715;-0,297631038;-0,944070246;0,141940609
64,36;-2,361260336;9,877237023;1,593172678;10,27976463;0,013204882;-0,009309387;-0,003259604;-21,09047997;64,65928725;11,34361468;3187,384783;0,203495787;11,65944974;0,821287486;47,05630672;-0,296756169;-0,944743408;0,139268335
64,38;-2,314088929;9,906650691;1,535539853;10,28856735;0,013585502;-0,009020913;-0,003193002;-21,13912364;64,85965895;11,37422127;3187,354174;0,203495833;11,65945238;0,821287478;47,05630628;-0,295254381;-0,945571554;0,136818441
64,4;-2,324702488;9,970252028;1,505088815;10,34772726;0,013597394;-0,008876003;-0,003099231;-21,18718748;65,05960389;11,40469122;3187,323702;0,203495879;11,65945502;0,821287471;47,05630585;-0,296282334;-0,945960443;0,131816608
64,42;-2,361356531;10,03570318;1,487748194;10,41656074;0,01372123;-0,008777204;-0,003126397;-21,23481286;65,25950978;11,43492651;3187,293464;0,203495925;11,65945765;0,821287463;47,05630542;-0,299682471;-0,94582021;0,124958183
64,44;-2,412963872;10,07209369;1,461407168;10,45969296;0,014278886;-0,008667151;-0,003287042;-21,28211439;65,45998951;11,46516288;3187,263226;0,203495971;11,65946029;0,821287456;47,056305;-0,303941959;-0,945297623;0,118455432
64,46;-2,321919049;10,05303404;1,406493953;10,41311801;0,014683747;-0,008466821;-0,003500925;-21,32550118;65,66097359;11,49585694;3187,232529;0,203496017;11,65946294;0,821287449;47,05630461;-0,308656677;-0,943961336;0,116910442
64,48;-2,230400672;9,996279722;1,401202837;10,33748832;0,01495577;-0,008429079;-0,003585917;-21,36941063;65,86205057;11,52671086;3187,201673;0,203496064;11,65946559;0,821287442;47,05630421;-0,309237919;-0,942958552;0,123292656
64,5;-2,178300885;10,01849456;1,452255689;10,35491548;0,015014503;-0,008433711;-0,003636649;-21,41276376;66,06233327;11,55715871;3187,171223;0,20349611;11,65946823;0,821287436;47,05630382;-0,308065943;-0,942562783;0,129115355
64,52;-2,190916975;10,02824869;1,493427594;10,37285954;0,01551721;-0,008210915;-0,003626083;-21,45532198;66,26304773;11,58762079;3187,140759;0,203496156;11,65947088;0,821287429;47,05630344;-0,306732687;-0,942362985;0,13366773
64,54;-2,262874177;10,0417744;1,499345191;10,40220499;0,015702212;-0,008118749;-0,003707649;-21,50331036;66,46506695;11,61861201;3187,109765;0,203496202;11,65947354;0,821287421;47,05630301;-0,30359426;-0,942632232;0,138834433
64,56;-2,298435198;10,05298145;1,512208581;10,42266833;0,015653902;-0,008125708;-0,003754404;-21,54235363;66,62696365;11,64345177;3187,084924;0,20349624;11,65947567;0,821287415;47,05630266;-0,301799399;-0,942776568;0,141737312
64,58;-2,339155383;10,07401878;1,545713431;10,45689879;0,015511167;-0,008176655;-0,003852344;-21,58108229;66,78862571;11,66816603;3187,060208;0,203496277;11,6594778;0,821287409;47,05630231;-0,301483767;-0,943020057;0,140786044
64,6;-2,390377882;10,09617795;1,585265319;10,49570302;0,015630242;-0,008210979;-0,003889611;-21,6196756;66,95043408;11,69268908;3187,035683;0,203496314;11,65947994;0,821287403;47,05630197;-0,302967364;-0,943334785;0,135389292
64,62;-2,43840367;10,10406022;1,625247927;10,52042187;0,015565642;-0,008286707;-0,003935143;-21,65820709;67,11226374;11,71732688;3187,011043;0,203496351;11,65948207;0,821287397;47,05630162;-0,305361536;-0,943545964;0,128356325
64,64;-2,482404388;10,11332915;1,636798947;10,54138837;0,015449561;-0,00844755;-0,003925477;-21,70045682;67,2745542;11,74196453;3186,986404;0,203496389;11,65948421;0,82128739;47,05630124;-0,305699054;-0,944244582;0,122271248
64,66;-2,480856999;10,09780663;1,663637017;10,53033895;0,015372997;-0,008537424;-0,003986792;-21,76960468;67,54458875;11,78410418;3186,944261;0,203496451;11,65948777;0,82128738;47,05630062;-0,305530789;-0,945290668;0,114352483
